2025-05-24 11:51:04.515842,Any age limit for placement?,FAQ,faq
2025-05-24 11:51:30.468481,How can I reach you?,Unknown,fallback
2025-05-24 11:52:34.710536,Which company offered the best package last year?,FAQ,faq
2025-05-24 11:58:46.649094,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 12:03:41.999884,Upcoming company visits,FAQ,faq
2025-05-24 12:04:45.686657,Share the placement calendar,FAQ,faq
2025-05-24 12:05:01.043331,Which company offered the best package last year?,FAQ,faq
2025-05-24 12:05:19.502699,What is the eligibility criteria for any company?,FAQ,faq
2025-05-24 12:45:53.552774,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 12:46:10.076178,Is 2022 passout eligible for the drive?,FAQ,faq
2025-05-24 12:47:07.105484,Which company offered the best package last year?,FAQ,faq
2025-05-24 13:16:46.631790,Am I eligible for Wipro?,FAQ,faq
2025-05-24 13:16:51.513891,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 13:16:59.013891,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 13:59:28.857013,Which company offered the best package last year?,FAQ,faq
2025-05-24 14:08:24.441891,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 14:09:35.938547,Is wipro hiring this semester?,FAQ,faq
2025-05-24 14:15:08.229524,Am I eligible for Wipro?,FAQ,faq
2025-05-24 14:16:05.786619,Does MCA students allowed for Infosys?,FAQ,faq
2025-05-24 14:16:55.917989,Do we need to submit hard copies?,FAQ,faq
2025-05-24 14:17:51.662874,How many days will be taken to get the results for wipro?,FAQ,faq
2025-05-24 14:18:14.055364,Can I accept the offer letter?,FAQ,faq
2025-05-24 15:32:05.124980,Which company offered the best package last year?,FAQ,faq
2025-05-24 15:32:23.904761,Am I eligible for Wipro?,FAQ,faq
2025-05-24 15:32:32.438079,Does MCA students allowed for Infosys?,FAQ,faq
2025-05-24 15:33:07.436415,Am I eligible for Wipro?,FAQ,faq
2025-05-24 16:05:00.621993,Am I eligible for Wipro?,FAQ,faq
2025-05-24 16:06:24.703322,How to get myself a certificate,Unknown,fallback
2025-05-24 16:12:58.092393,Does MCA students allowed for Infosys?,FAQ,faq
2025-05-24 16:19:24.957129,Am I eligible for Wipro?,FAQ,faq
2025-05-24 16:28:48.712485,df,Unknown,fallback
2025-05-24 16:29:00.719247,Am I eligible for Wipro?,FAQ,faq
2025-05-24 16:31:01.101715,Which company offered the best package last year?,FAQ,faq
2025-05-24 16:33:43.909233,Am I eligible for Wipro?,FAQ,faq
2025-05-24 16:39:17.265845,Hi,FAQ,faq
2025-05-24 16:45:36.330421,Is wipro hiring this semester?,FAQ,faq
2025-05-25 11:53:55.219619,Hi,FAQ,faq
2025-05-25 11:54:17.072344,Who is the placement officer?,FAQ,faq
2025-05-25 11:54:35.443166,companies recruit for Mca students?,FAQ,faq
2025-05-25 11:55:09.319956,How can I prepare for Accenture?,FAQ,faq
2025-05-25 11:55:19.933507,Tell me about amazon,FAQ,faq
2025-05-25 12:13:25.515940,Do I need to clear all papers?,FAQ,faq
2025-05-25 12:13:54.041597,Is there any age limit for placements?,FAQ,faq
2025-05-25 12:14:31.547278,Is,Unknown,fallback
2025-05-25 12:14:49.556857,Is there any age limit for placements?,FAQ,faq
2025-05-25 12:27:08.386986,Are internships offered by TCS?,FAQ,faq
2025-05-25 12:28:44.035176,Are internships offered by TCS?,FAQ,faq
2025-05-25 12:29:06.458874,How many internships can I apply for?,FAQ,faq
2025-05-25 13:21:29.001208,How many students are selected for interview?,FAQ,faq
2025-05-25 13:45:07.516739,will placements for Mca start this week?,FAQ,faq
2025-05-25 13:45:27.268808,When accenture results will be out?,FAQ,faq
2025-05-25 13:51:57.491394,what is the last date to register?,FAQ,faq
2025-05-25 13:52:33.453342,what the last date to register?,FAQ,faq
2025-05-25 13:53:09.352814,package offered by tcs?,FAQ,faq
2025-05-25 13:53:48.927493,tcs package offer?,FAQ,faq
2025-05-25 13:54:01.510325,what is the tcs package offer?,FAQ,faq
2025-05-25 13:56:40.936312,what is your name?,FAQ,faq
2025-05-25 14:05:02.802285,Are you a girl or boy?,FAQ,faq
